At frame 0, truck 1 is located at coordinates [209.89, 640.13] with a bounding box of width 343.59 and height 241.54.
 At frame 30, car 9 is located at coordinates [1412.09, 632.83] with a bounding box of width 337.26 and height 262.26.
 At frame 30, car 21 is located at coordinates [1412.09, 632.83] with a bounding box of width 337.26 and height 262.26.
 At frame 30, car 11 is located at coordinates [1412.09, 632.83] with a bounding box of width 337.26 and height 262.26.
 At frame 30, person 25 is located at coordinates [1412.09, 632.83] with a bounding box of width 337.26 and height 262.26.
 At frame 30, car 24 is located at coordinates [1412.09, 632.83] with a bounding box of width 337.26 and height 262.26.
 At frame 30, person 32 is located at coordinates [1412.09, 632.83] with a bounding box of width 337.26 and height 262.26.
 At frame 31, car 5 is located at coordinates [1426.77, 628.52] with a bounding box of width 339.03 and height 267.11.
 At frame 31, car 18 is located at coordinates [1426.77, 628.52] with a bounding box of width 339.03 and height 267.11.
 At frame 31, car 6 is located at coordinates [1426.77, 628.52] with a bounding box of width 339.03 and height 267.11.
 At frame 31, car 7 is located at coordinates [1426.77, 628.52] with a bounding box of width 339.03 and height 267.11.
 At frame 31, car 12 is located at coordinates [1426.77, 628.52] with a bounding box of width 339.03 and height 267.11.
 At frame 31, car 8 is located at coordinates [1426.77, 628.52] with a bounding box of width 339.03 and height 267.11.
 At frame 31, car 23 is located at coordinates [1426.77, 628.52] with a bounding box of width 339.03 and height 267.11.
 At frame 31, car 9 is located at coordinates [1426.77, 628.52] with a bounding box of width 339.03 and height 267.11.
 

=====================================================

At frame 31, person 25 is located at coordinates [1426.77, 628.52] with a bounding box of width 339.03 and height 267.11.
 At frame 31, car 11 is located at coordinates [1426.77, 628.52] with a bounding box of width 339.03 and height 267.11.
 At frame 31, car 21 is located at coordinates [1426.77, 628.52] with a bounding box of width 339.03 and height 267.11.
 At frame 31, car 24 is located at coordinates [1426.77, 628.52] with a bounding box of width 339.03 and height 267.11.
 At frame 31, person 32 is located at coordinates [1426.77, 628.52] with a bounding box of width 339.03 and height 267.11.
 At frame 32, car 5 is located at coordinates [1440.06, 625.05] with a bounding box of width 343.13 and height 271.09.
 At frame 32, car 6 is located at coordinates [1440.06, 625.05] with a bounding box of width 343.13 and height 271.09.
 At frame 32, car 7 is located at coordinates [1440.06, 625.05] with a bounding box of width 343.13 and height 271.09.
 At frame 32, car 18 is located at coordinates [1440.06, 625.05] with a bounding box of width 343.13 and height 271.09.
 At frame 32, car 8 is located at coordinates [1440.06, 625.05] with a bounding box of width 343.13 and height 271.09.
 At frame 32, car 23 is located at coordinates [1440.06, 625.05] with a bounding box of width 343.13 and height 271.09.
 At frame 32, car 12 is located at coordinates [1440.06, 625.05] with a bounding box of width 343.13 and height 271.09.
 At frame 32, car 9 is located at coordinates [1440.06, 625.05] with a bounding box of width 343.13 and height 271.09.
 At frame 32, person 25 is located at coordinates [1440.06, 625.05] with a bounding box of width 343.13 and height 271.09.
 At frame 32, car 21 is located at coordinates [1440.06, 625.05] with a bounding box of width 343.13 and height 271.09.
 At frame 32, car 24 is located at coordinates [1440.06, 625.05] with a bounding box of width 343.13 and height 271.09.
 At frame 32, car 11 is located at coordinates [1440.06, 625.05] with a bounding box of width 343.13 and height 271.09.
 At frame 32, car 14 is located at coordinates [1440.06, 625.05] with a bounding box of width 343.13 and height 271.09.
 At frame 33, car 5 is located at coordinates [1453.91, 621.33] with a bounding box of width 342.58 and height 274.33.
 At frame 33, car 6 is located at coordinates [1453.91, 621.33] with a bounding box of width 342.58 and height 274.33.
 At frame 33, car 7 is located at coordinates [1453.91, 621.33] with a bounding box of width 342.58 and height 274.33.
 At frame 33, car 8 is located at coordinates [1453.91, 621.33] with a bounding box of width 342.58 and height 274.33.
 At frame 33, car 12 is located at coordinates [1453.91, 621.33] with a bounding box of width 342.58 and height 274.33.
 At frame 33, car 23 is located at coordinates [1453.91, 621.33] with a bounding box of width 342.58 and height 274.33.
 At frame 33, car 18 is located at coordinates [1453.91, 621.33] with a bounding box of width 342.58 and height 274.33.
 At frame 33, car 9 is located at coordinates [1453.91, 621.33] with a bounding box of width 342.58 and height 274.33.
 At frame 33, person 25 is located at coordinates [1453.91, 621.33] with a bounding box of width 342.58 and height 274.33.
 At frame 33, car 21 is located at coordinates [1453.91, 621.33] with a bounding box of width 342.58 and height 274.33.
 At frame 33, car 24 is located at coordinates [1453.91, 621.33] with a bounding box of width 342.58 and height 274.33.
 At frame 33, car 11 is located at coordinates [1453.91, 621.33] with a bounding box of width 342.58 and height 274.33.
 At frame 33, person 32 is located at coordinates [1453.91, 621.33] with a bounding box of width 342.58 and height 274.33.
 At frame 34, car 5 is located at coordinates [1470.57, 612.49] with a bounding box of width 342.58 and height 286.01.
 At frame 34, car 18 is located at coordinates [1470.57, 612.49] with a bounding box of width 342.58 and height 286.01.
 At frame 34, car 6 is located at coordinates [1470.57, 612.49] with a bounding box of width 342.58 and height 286.01.
 At frame 34, car 8 is located at coordinates [1470.57, 612.49] with a bounding box of width 342.58 and height 286.01.
 At frame 34, car 7 is located at coordinates [1470.57, 612.49] with a bounding box of width 342.58 and height 286.01.
 At frame 34, car 12 is located at coordinates [1470.57, 612.49] with a bounding box of width 342.58 and height 286.01.
 At frame 34, car 23 is located at coordinates [1470.57, 612.49] with a bounding box of width 342.58 and height 286.01.
 At frame 34, person 25 is located at coordinates [1470.57, 612.49] with a bounding box of width 342.58 and height 286.01.
 At frame 34, car 9 is located at coordinates [1470.57, 612.49] with a bounding box of width 342.58 and height 286.01.
 At frame 34, car 24 is located at coordinates [1470.57, 612.49] with a bounding box of width 342.58 and height 286.01.
 At frame 34, car 11 is located at coordinates [1470.57, 612.49] with a bounding box of width 342.58 and height 286.01.
 At frame 34, car 21 is located at coordinates [1470.57, 612.49] with a bounding box of width 342.58 and height 286.01.
 At frame 34, car 37 is located at coordinates [1470.57, 612.49] with a bounding box of width 342.58 and height 286.01.
 At frame 35, car 5 is located at coordinates [1486.71, 610.93] with a bounding box of width 344.88 and height 300.83.
 At frame 35, car 6 is located at coordinates [1486.71, 610.93] with a bounding box of width 344.88 and height 300.83.
 At frame 35, car 7 is located at coordinates [1486.71, 610.93] with a bounding box of width 344.88 and height 300.83.
 At frame 35, car 12 is located at coordinates [1486.71, 610.93] with a bounding box of width 344.88 and height 300.83.
 At frame 35, car 8 is located at coordinates [1486.71, 610.93] with a bounding box of width 344.88 and height 300.83.
 At frame 35, car 18 is located at coordinates [1486.71, 610.93] with a bounding box of width 344.88 and height 300.83.
 

=====================================================

At frame 35, car 23 is located at coordinates [1486.71, 610.93] with a bounding box of width 344.88 and height 300.83.
 At frame 35, car 9 is located at coordinates [1486.71, 610.93] with a bounding box of width 344.88 and height 300.83.
 At frame 35, person 25 is located at coordinates [1486.71, 610.93] with a bounding box of width 344.88 and height 300.83.
 At frame 35, car 24 is located at coordinates [1486.71, 610.93] with a bounding box of width 344.88 and height 300.83.
 At frame 35, car 11 is located at coordinates [1486.71, 610.93] with a bounding box of width 344.88 and height 300.83.
 At frame 35, car 21 is located at coordinates [1486.71, 610.93] with a bounding box of width 344.88 and height 300.83.
 At frame 35, car 14 is located at coordinates [1486.71, 610.93] with a bounding box of width 344.88 and height 300.83.
 At frame 35, car 37 is located at coordinates [1486.71, 610.93] with a bounding box of width 344.88 and height 300.83.
 At frame 36, car 5 is located at coordinates [1506.34, 609.23] with a bounding box of width 352.06 and height 308.84.
 At frame 36, car 6 is located at coordinates [1506.34, 609.23] with a bounding box of width 352.06 and height 308.84.
 At frame 36, car 7 is located at coordinates [1506.34, 609.23] with a bounding box of width 352.06 and height 308.84.
 At frame 36, car 12 is located at coordinates [1506.34, 609.23] with a bounding box of width 352.06 and height 308.84.
 At frame 36, car 8 is located at coordinates [1506.34, 609.23] with a bounding box of width 352.06 and height 308.84.
 At frame 36, car 18 is located at coordinates [1506.34, 609.23] with a bounding box of width 352.06 and height 308.84.
 At frame 36, car 23 is located at coordinates [1506.34, 609.23] with a bounding box of width 352.06 and height 308.84.
 At frame 36, car 9 is located at coordinates [1506.34, 609.23] with a bounding box of width 352.06 and height 308.84.
 At frame 36, person 25 is located at coordinates [1506.34, 609.23] with a bounding box of width 352.06 and height 308.84.
 At frame 36, car 24 is located at coordinates [1506.34, 609.23] with a bounding box of width 352.06 and height 308.84.
 At frame 36, car 21 is located at coordinates [1506.34, 609.23] with a bounding box of width 352.06 and height 308.84.
 At frame 36, car 11 is located at coordinates [1506.34, 609.23] with a bounding box of width 352.06 and height 308.84.
 At frame 36, car 37 is located at coordinates [1506.34, 609.23] with a bounding box of width 352.06 and height 308.84.
 At frame 37, car 6 is located at coordinates [271.20, 696.74] with a bounding box of width 231.94 and height 162.20.
 At frame 37, car 7 is located at coordinates [271.20, 696.74] with a bounding box of width 231.94 and height 162.20.
 At frame 37, car 5 is located at coordinates [271.20, 696.74] with a bounding box of width 231.94 and height 162.20.
 At frame 37, car 12 is located at coordinates [271.20, 696.74] with a bounding box of width 231.94 and height 162.20.
 At frame 37, car 8 is located at coordinates [271.20, 696.74] with a bounding box of width 231.94 and height 162.20.
 At frame 37, car 18 is located at coordinates [271.20, 696.74] with a bounding box of width 231.94 and height 162.20.
 At frame 37, car 23 is located at coordinates [271.20, 696.74] with a bounding box of width 231.94 and height 162.20.
 At frame 37, car 9 is located at coordinates [271.20, 696.74] with a bounding box of width 231.94 and height 162.20.
 At frame 37, car 21 is located at coordinates [271.20, 696.74] with a bounding box of width 231.94 and height 162.20.
 At frame 37, person 25 is located at coordinates [271.20, 696.74] with a bounding box of width 231.94 and height 162.20.
 At frame 37, car 11 is located at coordinates [271.20, 696.74] with a bounding box of width 231.94 and height 162.20.
 At frame 37, car 24 is located at coordinates [271.20, 696.74] with a bounding box of width 231.94 and height 162.20.
 At frame 37, car 37 is located at coordinates [271.20, 696.74] with a bounding box of width 231.94 and height 162.20.
 At frame 38, car 6 is located at coordinates [258.99, 695.60] with a bounding box of width 233.03 and height 166.02.
 At frame 38, car 5 is located at coordinates [258.99, 695.60] with a bounding box of width 233.03 and height 166.02.
 At frame 38, car 7 is located at coordinates [258.99, 695.60] with a bounding box of width 233.03 and height 166.02.
 At frame 38, car 8 is located at coordinates [258.99, 695.60] with a bounding box of width 233.03 and height 166.02.
 At frame 38, car 12 is located at coordinates [258.99, 695.60] with a bounding box of width 233.03 and height 166.02.
 At frame 38, car 23 is located at coordinates [258.99, 695.60] with a bounding box of width 233.03 and height 166.02.
 At frame 38, car 18 is located at coordinates [258.99, 695.60] with a bounding box of width 233.03 and height 166.02.
 At frame 38, car 9 is located at coordinates [258.99, 695.60] with a bounding box of width 233.03 and height 166.02.
 At frame 38, car 21 is located at coordinates [258.99, 695.60] with a bounding box of width 233.03 and height 166.02.
 At frame 38, person 25 is located at coordinates [258.99, 695.60] with a bounding box of width 233.03 and height 166.02.
 At frame 38, car 24 is located at coordinates [258.99, 695.60] with a bounding box of width 233.03 and height 166.02.
 At frame 38, car 11 is located at coordinates [258.99, 695.60] with a bounding box of width 233.03 and height 166.02.
 At frame 38, car 14 is located at coordinates [258.99, 695.60] with a bounding box of width 233.03 and height 166.02.
 At frame 38, car 37 is located at coordinates [258.99, 695.60] with a bounding box of width 233.03 and height 166.02.
 At frame 39, car 5 is located at coordinates [1563.45, 593.76] with a bounding box of width 355.67 and height 333.34.
 At frame 39, car 6 is located at coordinates [1563.45, 593.76] with a bounding box of width 355.67 and height 333.34.
 

=====================================================

At frame 39, car 7 is located at coordinates [1563.45, 593.76] with a bounding box of width 355.67 and height 333.34.
 At frame 39, car 12 is located at coordinates [1563.45, 593.76] with a bounding box of width 355.67 and height 333.34.
 At frame 39, car 8 is located at coordinates [1563.45, 593.76] with a bounding box of width 355.67 and height 333.34.
 At frame 39, car 23 is located at coordinates [1563.45, 593.76] with a bounding box of width 355.67 and height 333.34.
 At frame 39, car 9 is located at coordinates [1563.45, 593.76] with a bounding box of width 355.67 and height 333.34.
 At frame 39, car 21 is located at coordinates [1563.45, 593.76] with a bounding box of width 355.67 and height 333.34.
 At frame 39, car 18 is located at coordinates [1563.45, 593.76] with a bounding box of width 355.67 and height 333.34.
 At frame 39, person 25 is located at coordinates [1563.45, 593.76] with a bounding box of width 355.67 and height 333.34.
 At frame 39, car 24 is located at coordinates [1563.45, 593.76] with a bounding box of width 355.67 and height 333.34.
 At frame 39, car 11 is located at coordinates [1563.45, 593.76] with a bounding box of width 355.67 and height 333.34.
 At frame 39, car 37 is located at coordinates [1563.45, 593.76] with a bounding box of width 355.67 and height 333.34.
 At frame 40, car 7 is located at coordinates [1325.41, 691.61] with a bounding box of width 272.89 and height 165.08.
 At frame 40, car 6 is located at coordinates [1325.41, 691.61] with a bounding box of width 272.89 and height 165.08.
 At frame 40, car 5 is located at coordinates [1325.41, 691.61] with a bounding box of width 272.89 and height 165.08.
 At frame 40, car 12 is located at coordinates [1325.41, 691.61] with a bounding box of width 272.89 and height 165.08.
 At frame 40, car 8 is located at coordinates [1325.41, 691.61] with a bounding box of width 272.89 and height 165.08.
 At frame 40, car 23 is located at coordinates [1325.41, 691.61] with a bounding box of width 272.89 and height 165.08.
 At frame 40, car 9 is located at coordinates [1325.41, 691.61] with a bounding box of width 272.89 and height 165.08.
 At frame 40, car 21 is located at coordinates [1325.41, 691.61] with a bounding box of width 272.89 and height 165.08.
 At frame 40, car 18 is located at coordinates [1325.41, 691.61] with a bounding box of width 272.89 and height 165.08.
 At frame 40, person 25 is located at coordinates [1325.41, 691.61] with a bounding box of width 272.89 and height 165.08.
 At frame 40, car 11 is located at coordinates [1325.41, 691.61] with a bounding box of width 272.89 and height 165.08.
 At frame 40, car 24 is located at coordinates [1325.41, 691.61] with a bounding box of width 272.89 and height 165.08.
 At frame 40, car 14 is located at coordinates [1325.41, 691.61] with a bounding box of width 272.89 and height 165.08.
 At frame 40, person 32 is located at coordinates [1325.41, 691.61] with a bounding box of width 272.89 and height 165.08.
 At frame 40, car 37 is located at coordinates [1325.41, 691.61] with a bounding box of width 272.89 and height 165.08.
 At frame 41, car 7 is located at coordinates [1333.28, 690.21] with a bounding box of width 286.19 and height 166.83.
 At frame 41, car 5 is located at coordinates [1333.28, 690.21] with a bounding box of width 286.19 and height 166.83.
 At frame 41, car 6 is located at coordinates [1333.28, 690.21] with a bounding box of width 286.19 and height 166.83.
 At frame 41, car 12 is located at coordinates [1333.28, 690.21] with a bounding box of width 286.19 and height 166.83.
 At frame 41, car 8 is located at coordinates [1333.28, 690.21] with a bounding box of width 286.19 and height 166.83.
 At frame 41, car 23 is located at coordinates [1333.28, 690.21] with a bounding box of width 286.19 and height 166.83.
 At frame 41, car 18 is located at coordinates [1333.28, 690.21] with a bounding box of width 286.19 and height 166.83.
 At frame 41, car 11 is located at coordinates [1333.28, 690.21] with a bounding box of width 286.19 and height 166.83.
 At frame 41, person 25 is located at coordinates [1333.28, 690.21] with a bounding box of width 286.19 and height 166.83.
 At frame 41, car 21 is located at coordinates [1333.28, 690.21] with a bounding box of width 286.19 and height 166.83.
 At frame 41, car 24 is located at coordinates [1333.28, 690.21] with a bounding box of width 286.19 and height 166.83.
 At frame 41, person 32 is located at coordinates [1333.28, 690.21] with a bounding box of width 286.19 and height 166.83.
 At frame 41, car 9 is located at coordinates [1333.28, 690.21] with a bounding box of width 286.19 and height 166.83.
 At frame 41, car 14 is located at coordinates [1333.28, 690.21] with a bounding box of width 286.19 and height 166.83.
 At frame 41, car 37 is located at coordinates [1333.28, 690.21] with a bounding box of width 286.19 and height 166.83.
 At frame 42, car 5 is located at coordinates [1632.02, 573.59] with a bounding box of width 286.80 and height 372.06.
 At frame 42, car 7 is located at coordinates [1632.02, 573.59] with a bounding box of width 286.80 and height 372.06.
 At frame 42, car 6 is located at coordinates [1632.02, 573.59] with a bounding box of width 286.80 and height 372.06.
 At frame 42, car 12 is located at coordinates [1632.02, 573.59] with a bounding box of width 286.80 and height 372.06.
 At frame 42, car 8 is located at coordinates [1632.02, 573.59] with a bounding box of width 286.80 and height 372.06.
 At frame 42, car 23 is located at coordinates [1632.02, 573.59] with a bounding box of width 286.80 and height 372.06.
 At frame 42, car 11 is located at coordinates [1632.02, 573.59] with a bounding box of width 286.80 and height 372.06.
 At frame 42, car 18 is located at coordinates [1632.02, 573.59] with a bounding box of width 286.80 and height 372.06.
 At frame 42, car 21 is located at coordinates [1632.02, 573.59] with a bounding box of width 286.80 and height 372.06.
 

=====================================================

At frame 42, car 24 is located at coordinates [1632.02, 573.59] with a bounding box of width 286.80 and height 372.06.
 At frame 42, person 25 is located at coordinates [1632.02, 573.59] with a bounding box of width 286.80 and height 372.06.
 At frame 42, person 32 is located at coordinates [1632.02, 573.59] with a bounding box of width 286.80 and height 372.06.
 At frame 42, car 14 is located at coordinates [1632.02, 573.59] with a bounding box of width 286.80 and height 372.06.
 At frame 42, car 9 is located at coordinates [1632.02, 573.59] with a bounding box of width 286.80 and height 372.06.
 At frame 42, car 37 is located at coordinates [1632.02, 573.59] with a bounding box of width 286.80 and height 372.06.
 At frame 42, car 41 is located at coordinates [1632.02, 573.59] with a bounding box of width 286.80 and height 372.06.
 At frame 43, car 6 is located at coordinates [200.53, 690.77] with a bounding box of width 232.34 and height 185.20.
 At frame 43, car 5 is located at coordinates [200.53, 690.77] with a bounding box of width 232.34 and height 185.20.
 At frame 43, car 7 is located at coordinates [200.53, 690.77] with a bounding box of width 232.34 and height 185.20.
 At frame 43, car 12 is located at coordinates [200.53, 690.77] with a bounding box of width 232.34 and height 185.20.
 At frame 43, car 8 is located at coordinates [200.53, 690.77] with a bounding box of width 232.34 and height 185.20.
 At frame 43, car 23 is located at coordinates [200.53, 690.77] with a bounding box of width 232.34 and height 185.20.
 At frame 43, car 21 is located at coordinates [200.53, 690.77] with a bounding box of width 232.34 and height 185.20.
 At frame 43, car 9 is located at coordinates [200.53, 690.77] with a bounding box of width 232.34 and height 185.20.
 At frame 43, car 11 is located at coordinates [200.53, 690.77] with a bounding box of width 232.34 and height 185.20.
 At frame 43, person 25 is located at coordinates [200.53, 690.77] with a bounding box of width 232.34 and height 185.20.
 At frame 43, car 18 is located at coordinates [200.53, 690.77] with a bounding box of width 232.34 and height 185.20.
 At frame 43, person 32 is located at coordinates [200.53, 690.77] with a bounding box of width 232.34 and height 185.20.
 At frame 43, car 24 is located at coordinates [200.53, 690.77] with a bounding box of width 232.34 and height 185.20.
 At frame 43, car 14 is located at coordinates [200.53, 690.77] with a bounding box of width 232.34 and height 185.20.
 At frame 43, car 37 is located at coordinates [200.53, 690.77] with a bounding box of width 232.34 and height 185.20.
 At frame 43, car 27 is located at coordinates [200.53, 690.77] with a bounding box of width 232.34 and height 185.20.
 At frame 44, car 6 is located at coordinates [184.81, 688.42] with a bounding box of width 234.26 and height 185.05.
 At frame 44, car 12 is located at coordinates [184.81, 688.42] with a bounding box of width 234.26 and height 185.05.
 At frame 44, car 7 is located at coordinates [184.81, 688.42] with a bounding box of width 234.26 and height 185.05.
 At frame 44, car 5 is located at coordinates [184.81, 688.42] with a bounding box of width 234.26 and height 185.05.
 At frame 44, car 8 is located at coordinates [184.81, 688.42] with a bounding box of width 234.26 and height 185.05.
 At frame 44, car 23 is located at coordinates [184.81, 688.42] with a bounding box of width 234.26 and height 185.05.
 At frame 44, car 21 is located at coordinates [184.81, 688.42] with a bounding box of width 234.26 and height 185.05.
 At frame 44, car 9 is located at coordinates [184.81, 688.42] with a bounding box of width 234.26 and height 185.05.
 At frame 44, car 11 is located at coordinates [184.81, 688.42] with a bounding box of width 234.26 and height 185.05.
 At frame 44, person 25 is located at coordinates [184.81, 688.42] with a bounding box of width 234.26 and height 185.05.
 At frame 44, car 24 is located at coordinates [184.81, 688.42] with a bounding box of width 234.26 and height 185.05.
 At frame 44, person 32 is located at coordinates [184.81, 688.42] with a bounding box of width 234.26 and height 185.05.
 At frame 44, car 14 is located at coordinates [184.81, 688.42] with a bounding box of width 234.26 and height 185.05.
 At frame 44, car 37 is located at coordinates [184.81, 688.42] with a bounding box of width 234.26 and height 185.05.
 At frame 44, car 27 is located at coordinates [184.81, 688.42] with a bounding box of width 234.26 and height 185.05.
 At frame 45, car 7 is located at coordinates [1366.84, 684.11] with a bounding box of width 301.28 and height 182.60.
 At frame 45, car 6 is located at coordinates [1366.84, 684.11] with a bounding box of width 301.28 and height 182.60.
 At frame 45, car 8 is located at coordinates [1366.84, 684.11] with a bounding box of width 301.28 and height 182.60.
 At frame 45, car 12 is located at coordinates [1366.84, 684.11] with a bounding box of width 301.28 and height 182.60.
 At frame 45, car 23 is located at coordinates [1366.84, 684.11] with a bounding box of width 301.28 and height 182.60.
 At frame 45, car 5 is located at coordinates [1366.84, 684.11] with a bounding box of width 301.28 and height 182.60.
 At frame 45, person 25 is located at coordinates [1366.84, 684.11] with a bounding box of width 301.28 and height 182.60.
 At frame 45, car 11 is located at coordinates [1366.84, 684.11] with a bounding box of width 301.28 and height 182.60.
 At frame 45, car 21 is located at coordinates [1366.84, 684.11] with a bounding box of width 301.28 and height 182.60.
 At frame 45, car 24 is located at coordinates [1366.84, 684.11] with a bounding box of width 301.28 and height 182.60.
 At frame 45, person 32 is located at coordinates [1366.84, 684.11] with a bounding box of width 301.28 and height 182.60.
 At frame 45, car 9 is located at coordinates [1366.84, 684.11] with a bounding box of width 301.28 and height 182.60.
 

=====================================================

At frame 45, car 27 is located at coordinates [1366.84, 684.11] with a bounding box of width 301.28 and height 182.60.
 At frame 45, car 37 is located at coordinates [1366.84, 684.11] with a bounding box of width 301.28 and height 182.60.
 At frame 45, car 14 is located at coordinates [1366.84, 684.11] with a bounding box of width 301.28 and height 182.60.
 At frame 46, car 7 is located at coordinates [1374.29, 683.21] with a bounding box of width 306.15 and height 187.18.
 At frame 46, car 6 is located at coordinates [1374.29, 683.21] with a bounding box of width 306.15 and height 187.18.
 At frame 46, car 5 is located at coordinates [1374.29, 683.21] with a bounding box of width 306.15 and height 187.18.
 At frame 46, car 23 is located at coordinates [1374.29, 683.21] with a bounding box of width 306.15 and height 187.18.
 At frame 46, car 8 is located at coordinates [1374.29, 683.21] with a bounding box of width 306.15 and height 187.18.
 At frame 46, car 12 is located at coordinates [1374.29, 683.21] with a bounding box of width 306.15 and height 187.18.
 At frame 46, person 25 is located at coordinates [1374.29, 683.21] with a bounding box of width 306.15 and height 187.18.
 At frame 46, car 21 is located at coordinates [1374.29, 683.21] with a bounding box of width 306.15 and height 187.18.
 At frame 46, car 11 is located at coordinates [1374.29, 683.21] with a bounding box of width 306.15 and height 187.18.
 At frame 46, car 24 is located at coordinates [1374.29, 683.21] with a bounding box of width 306.15 and height 187.18.
 At frame 46, car 9 is located at coordinates [1374.29, 683.21] with a bounding box of width 306.15 and height 187.18.
 At frame 46, person 32 is located at coordinates [1374.29, 683.21] with a bounding box of width 306.15 and height 187.18.
 At frame 46, car 27 is located at coordinates [1374.29, 683.21] with a bounding box of width 306.15 and height 187.18.
 At frame 46, car 37 is located at coordinates [1374.29, 683.21] with a bounding box of width 306.15 and height 187.18.
 At frame 46, car 41 is located at coordinates [1374.29, 683.21] with a bounding box of width 306.15 and height 187.18.
 At frame 47, car 6 is located at coordinates [128.88, 683.98] with a bounding box of width 248.13 and height 195.81.
 At frame 47, car 7 is located at coordinates [128.88, 683.98] with a bounding box of width 248.13 and height 195.81.
 At frame 47, car 23 is located at coordinates [128.88, 683.98] with a bounding box of width 248.13 and height 195.81.
 At frame 47, car 12 is located at coordinates [128.88, 683.98] with a bounding box of width 248.13 and height 195.81.
 At frame 47, car 8 is located at coordinates [128.88, 683.98] with a bounding box of width 248.13 and height 195.81.
 At frame 47, car 5 is located at coordinates [128.88, 683.98] with a bounding box of width 248.13 and height 195.81.
 At frame 47, car 21 is located at coordinates [128.88, 683.98] with a bounding box of width 248.13 and height 195.81.
 At frame 47, car 9 is located at coordinates [128.88, 683.98] with a bounding box of width 248.13 and height 195.81.
 At frame 47, person 25 is located at coordinates [128.88, 683.98] with a bounding box of width 248.13 and height 195.81.
 At frame 47, car 11 is located at coordinates [128.88, 683.98] with a bounding box of width 248.13 and height 195.81.
 At frame 47, car 24 is located at coordinates [128.88, 683.98] with a bounding box of width 248.13 and height 195.81.
 At frame 47, person 32 is located at coordinates [128.88, 683.98] with a bounding box of width 248.13 and height 195.81.
 At frame 47, car 27 is located at coordinates [128.88, 683.98] with a bounding box of width 248.13 and height 195.81.
 At frame 47, car 37 is located at coordinates [128.88, 683.98] with a bounding box of width 248.13 and height 195.81.
 At frame 48, car 7 is located at coordinates [1397.06, 679.46] with a bounding box of width 307.10 and height 194.25.
 At frame 48, car 6 is located at coordinates [1397.06, 679.46] with a bounding box of width 307.10 and height 194.25.
 At frame 48, car 23 is located at coordinates [1397.06, 679.46] with a bounding box of width 307.10 and height 194.25.
 At frame 48, car 8 is located at coordinates [1397.06, 679.46] with a bounding box of width 307.10 and height 194.25.
 At frame 48, car 12 is located at coordinates [1397.06, 679.46] with a bounding box of width 307.10 and height 194.25.
 At frame 48, car 21 is located at coordinates [1397.06, 679.46] with a bounding box of width 307.10 and height 194.25.
 At frame 48, person 25 is located at coordinates [1397.06, 679.46] with a bounding box of width 307.10 and height 194.25.
 At frame 48, car 11 is located at coordinates [1397.06, 679.46] with a bounding box of width 307.10 and height 194.25.
 At frame 48, car 5 is located at coordinates [1397.06, 679.46] with a bounding box of width 307.10 and height 194.25.
 At frame 48, car 24 is located at coordinates [1397.06, 679.46] with a bounding box of width 307.10 and height 194.25.
 At frame 48, car 9 is located at coordinates [1397.06, 679.46] with a bounding box of width 307.10 and height 194.25.
 At frame 48, car 37 is located at coordinates [1397.06, 679.46] with a bounding box of width 307.10 and height 194.25.
 At frame 48, person 32 is located at coordinates [1397.06, 679.46] with a bounding box of width 307.10 and height 194.25.
 At frame 48, car 27 is located at coordinates [1397.06, 679.46] with a bounding box of width 307.10 and height 194.25.
 At frame 48, car 41 is located at coordinates [1397.06, 679.46] with a bounding box of width 307.10 and height 194.25.
 At frame 49, car 7 is located at coordinates [1403.39, 680.60] with a bounding box of width 312.41 and height 198.30.
 At frame 49, car 6 is located at coordinates [1403.39, 680.60] with a bounding box of width 312.41 and height 198.30.
 At frame 49, car 23 is located at coordinates [1403.39, 680.60] with a bounding box of width 312.41 and height 198.30.
 

=====================================================

At frame 49, car 12 is located at coordinates [1403.39, 680.60] with a bounding box of width 312.41 and height 198.30.
 At frame 49, car 8 is located at coordinates [1403.39, 680.60] with a bounding box of width 312.41 and height 198.30.
 At frame 49, person 25 is located at coordinates [1403.39, 680.60] with a bounding box of width 312.41 and height 198.30.
 At frame 49, car 9 is located at coordinates [1403.39, 680.60] with a bounding box of width 312.41 and height 198.30.
 At frame 49, car 21 is located at coordinates [1403.39, 680.60] with a bounding box of width 312.41 and height 198.30.
 At frame 49, car 11 is located at coordinates [1403.39, 680.60] with a bounding box of width 312.41 and height 198.30.
 At frame 49, car 24 is located at coordinates [1403.39, 680.60] with a bounding box of width 312.41 and height 198.30.
 At frame 49, car 37 is located at coordinates [1403.39, 680.60] with a bounding box of width 312.41 and height 198.30.
 At frame 49, car 27 is located at coordinates [1403.39, 680.60] with a bounding box of width 312.41 and height 198.30.
 At frame 49, person 32 is located at coordinates [1403.39, 680.60] with a bounding box of width 312.41 and height 198.30.
 At frame 50, car 7 is located at coordinates [1418.46, 676.28] with a bounding box of width 311.83 and height 205.27.
 At frame 50, car 6 is located at coordinates [1418.46, 676.28] with a bounding box of width 311.83 and height 205.27.
 At frame 50, car 8 is located at coordinates [1418.46, 676.28] with a bounding box of width 311.83 and height 205.27.
 At frame 50, car 23 is located at coordinates [1418.46, 676.28] with a bounding box of width 311.83 and height 205.27.
 At frame 50, car 12 is located at coordinates [1418.46, 676.28] with a bounding box of width 311.83 and height 205.27.
