At frame 0.0, person 1.0 is located at coordinates [605.72, 635.48] with a bounding box of width 36.41 and height 95.03.
 At frame 56.0, person 1.0 is located at coordinates [423.47, 628.78] with a bounding box of width 78.86 and height 171.51.
 At frame 56.0, person 5.0 is located at coordinates [1293.28, 611.73] with a bounding box of width 74.92 and height 209.55.
 At frame 56.0, person 6.0 is located at coordinates [1122.12, 619.27] with a bounding box of width 22.30 and height 53.17.
 At frame 56.0, person 7.0 is located at coordinates [584.12, 631.90] with a bounding box of width 39.37 and height 80.09.
 At frame 56.0, person 8.0 is located at coordinates [1140.64, 617.95] with a bounding box of width 18.76 and height 45.44.
 At frame 56.0, person 9.0 is located at coordinates [618.75, 638.73] with a bounding box of width 26.27 and height 63.75.
 At frame 56.0, person 11.0 is located at coordinates [292.20, 630.62] with a bounding box of width 29.68 and height 74.89.
 At frame 56.0, person 12.0 is located at coordinates [342.45, 643.19] with a bounding box of width 34.65 and height 78.18.
 At frame 56.0, person 13.0 is located at coordinates [1218.50, 617.84] with a bounding box of width 24.13 and height 55.44.
 At frame 56.0, person 14.0 is located at coordinates [1081.18, 621.05] with a bounding box of width 15.70 and height 35.00.
 At frame 56.0, person 15.0 is located at coordinates [1251.52, 615.85] with a bounding box of width 21.34 and height 52.78.
 At frame 56.0, person 16.0 is located at coordinates [1435.22, 611.85] with a bounding box of width 30.20 and height 79.75.
 At frame 56.0, person 17.0 is located at coordinates [1454.67, 614.73] with a bounding box of width 28.99 and height 80.42.
 At frame 56.0, person 10.0 is located at coordinates [1277.20, 612.39] with a bounding box of width 20.07 and height 49.65.
 At frame 57.0, person 1.0 is located at coordinates [421.38, 630.72] with a bounding box of width 80.78 and height 171.31.
 At frame 57.0, person 5.0 is located at coordinates [1297.21, 611.36] with a bounding box of width 76.01 and height 212.46.
 At frame 57.0, person 6.0 is located at coordinates [1122.77, 619.49] with a bounding box of width 23.87 and height 56.85.
 At frame 57.0, person 7.0 is located at coordinates [587.52, 630.67] with a bounding box of width 39.00 and height 80.84.
 At frame 57.0, person 8.0 is located at coordinates [1141.05, 618.52] with a bounding box of width 18.64 and height 45.39.
 At frame 57.0, person 9.0 is located at coordinates [618.39, 637.78] with a bounding box of width 26.94 and height 65.76.
 At frame 57.0, person 11.0 is located at coordinates [289.83, 631.53] with a bounding box of width 29.50 and height 74.30.
 At frame 57.0, person 12.0 is located at coordinates [340.48, 643.44] with a bounding box of width 34.45 and height 77.74.
 At frame 57.0, person 13.0 is located at coordinates [1220.38, 617.36] with a bounding box of width 24.40 and height 56.39.
 At frame 57.0, person 14.0 is located at coordinates [1081.99, 621.84] with a bounding box of width 15.42 and height 34.21.
 At frame 57.0, person 15.0 is located at coordinates [1251.85, 617.31] with a bounding box of width 20.75 and height 51.18.
 At frame 57.0, person 16.0 is located at coordinates [1437.90, 612.46] with a bounding box of width 29.89 and height 78.82.
 At frame 57.0, person 17.0 is located at coordinates [1455.69, 616.64] with a bounding box of width 27.23 and height 75.40.
 At frame 57.0, person 10.0 is located at coordinates [1279.47, 613.26] with a bounding box of width 19.87 and height 49.36.
 At frame 58.0, person 1.0 is located at coordinates [421.22, 634.36] with a bounding box of width 81.62 and height 168.86.
 At frame 58.0, person 5.0 is located at coordinates [1300.35, 610.67] with a bounding box of width 77.45 and height 215.77.
 At frame 58.0, person 6.0 is located at coordinates [1122.61, 619.86] with a bounding box of width 24.10 and height 57.66.
 At frame 58.0, person 7.0 is located at coordinates [587.38, 631.94] with a bounding box of width 38.88 and height 81.10.
 At frame 58.0, person 8.0 is located at coordinates [1141.90, 618.75] with a bounding box of width 18.35 and height 44.78.
 At frame 58.0, person 9.0 is located at coordinates [618.26, 638.57] with a bounding box of width 26.61 and height 65.36.
 At frame 58.0, person 11.0 is located at coordinates [287.63, 632.46] with a bounding box of width 29.32 and height 74.05.
 At frame 58.0, person 12.0 is located at coordinates [338.32, 642.36] with a bounding box of width 34.76 and height 78.72.
 At frame 58.0, person 13.0 is located at coordinates [1222.04, 617.19] with a bounding box of width 24.79 and height 57.33.
 At frame 58.0, person 14.0 is located at coordinates [1082.84, 622.47] with a bounding box of width 15.35 and height 33.90.
 At frame 58.0, person 15.0 is located at coordinates [1252.32, 617.55] with a bounding box of width 21.02 and height 51.85.
 At frame 58.0, person 16.0 is located at coordinates [1439.78, 612.43] with a bounding box of width 30.20 and height 79.66.
 At frame 58.0, person 17.0 is located at coordinates [1457.84, 616.93] with a bounding box of width 26.94 and height 74.43.
 At frame 58.0, person 10.0 is located at coordinates [1280.42, 614.19] with a bounding box of width 19.36 and height 48.69.
 At frame 59.0, person 1.0 is located at coordinates [422.93, 636.01] with a bounding box of width 83.19 and height 169.05.
 At frame 59.0, person 5.0 is located at coordinates [1303.47, 610.71] with a bounding box of width 78.45 and height 217.52.
 At frame 59.0, person 6.0 is located at coordinates [1122.91, 620.32] with a bounding box of width 24.53 and height 59.10.
 At frame 59.0, person 7.0 is located at coordinates [587.64, 632.15] with a bounding box of width 38.20 and height 80.59.
 At frame 59.0, person 8.0 is located at coordinates [1143.00, 619.44] with a bounding box of width 17.79 and height 43.36.
 At frame 59.0, person 9.0 is located at coordinates [618.66, 639.46] with a bounding box of width 26.19 and height 64.59.
 At frame 59.0, person 11.0 is located at coordinates [285.84, 634.26] with a bounding box of width 28.72 and height 72.78.
 At frame 59.0, person 12.0 is located at coordinates [336.65, 641.95] with a bounding box of width 34.99 and height 79.66.
 At frame 59.0, person 13.0 is located at coordinates [1224.37, 617.71] with a bounding box of width 24.93 and height 57.68.
 At frame 59.0, person 14.0 is located at coordinates [1083.60, 623.01] with a bounding box of width 15.59 and height 34.38.
 At frame 59.0, person 15.0 is located at coordinates [1252.04, 617.64] with a bounding box of width 21.99 and height 54.49.
 At frame 59.0, person 16.0 is located at coordinates [1440.79, 611.86] with a bounding box of width 30.70 and height 81.14.
 At frame 59.0, person 17.0 is located at coordinates [1459.51, 617.32] with a bounding box of width 27.36 and height 75.51.
 At frame 59.0, person 10.0 is located at coordinates [1281.13, 615.13] with a bounding box of width 19.50 and height 49.11.
 At frame 60.0, person 1.0 is located at coordinates [427.74, 638.36] with a bounding box of width 84.08 and height 169.09.
 At frame 60.0, person 5.0 is located at coordinates [1305.64, 612.48] with a bounding box of width 80.02 and height 219.23.
 At frame 60.0, person 6.0 is located at coordinates [1123.54, 620.80] with a bounding box of width 24.77 and height 59.63.
 At frame 60.0, person 7.0 is located at coordinates [591.79, 635.16] with a bounding box of width 35.67 and height 76.87.
 At frame 60.0, person 8.0 is located at coordinates [1143.37, 619.71] with a bounding box of width 17.60 and height 42.83.
 At frame 60.0, person 9.0 is located at coordinates [619.62, 640.68] with a bounding box of width 25.58 and height 63.70.
 At frame 60.0, person 11.0 is located at coordinates [284.02, 635.82] with a bounding box of width 28.05 and height 71.10.
 At frame 60.0, person 12.0 is located at coordinates [335.01, 641.21] with a bounding box of width 35.23 and height 80.59.
 At frame 60.0, person 13.0 is located at coordinates [1226.55, 618.51] with a bounding box of width 24.60 and height 57.22.
 At frame 60.0, person 14.0 is located at coordinates [1083.57, 624.11] with a bounding box of width 15.08 and height 33.39.
 At frame 60.0, person 15.0 is located at coordinates [1251.58, 617.09] with a bounding box of width 23.05 and height 57.22.
 At frame 60.0, person 16.0 is located at coordinates [1442.58, 612.84] with a bounding box of width 30.27 and height 79.92.
 At frame 60.0, person 17.0 is located at coordinates [1460.99, 618.05] with a bounding box of width 26.82 and height 74.02.
 At frame 60.0, person 10.0 is located at coordinates [1281.72, 614.86] with a bounding box of width 19.95 and height 49.90.
 At frame 61.0, person 1.0 is located at coordinates [433.85, 638.62] with a bounding box of width 84.76 and height 170.25.
 At frame 61.0, person 5.0 is located at coordinates [1306.79, 612.89] with a bounding box of width 81.97 and height 221.51.
 At frame 61.0, person 6.0 is located at coordinates [1124.14, 621.00] with a bounding box of width 25.27 and height 60.96.
 At frame 61.0, person 7.0 is located at coordinates [592.47, 635.72] with a bounding box of width 34.70 and height 76.59.
 At frame 61.0, person 8.0 is located at coordinates [1143.15, 619.23] with a bounding box of width 18.18 and height 44.42.
 At frame 61.0, person 9.0 is located at coordinates [620.05, 641.43] with a bounding box of width 25.23 and height 63.35.
 At frame 61.0, person 11.0 is located at coordinates [281.15, 633.12] with a bounding box of width 29.40 and height 74.61.
 At frame 61.0, person 12.0 is located at coordinates [333.50, 642.08] with a bounding box of width 34.93 and height 80.34.
 At frame 61.0, person 13.0 is located at coordinates [1227.94, 618.83] with a bounding box of width 24.39 and height 57.03.
 At frame 61.0, person 14.0 is located at coordinates [1084.14, 624.84] with a bounding box of width 14.85 and height 33.01.
 At frame 61.0, person 15.0 is located at coordinates [1251.61, 616.59] with a bounding box of width 24.18 and height 60.00.
 At frame 61.0, person 16.0 is located at coordinates [1444.42, 613.55] with a bounding box of width 29.96 and height 79.43.
 At frame 61.0, person 17.0 is located at coordinates [1461.95, 618.29] with a bounding box of width 26.85 and height 74.17.
 At frame 61.0, person 10.0 is located at coordinates [1282.44, 614.75] with a bounding box of width 20.20 and height 50.22.
 At frame 61.0, person 18.0 is located at coordinates [1498.99, 619.93] with a bounding box of width 33.83 and height 95.21.
 At frame 62.0, person 1.0 is located at coordinates [439.89, 638.38] with a bounding box of width 85.09 and height 170.67.
 At frame 62.0, person 5.0 is located at coordinates [1306.36, 613.06] with a bounding box of width 84.12 and height 222.86.
 At frame 62.0, person 6.0 is located at coordinates [1124.94, 621.38] with a bounding box of width 25.42 and height 61.45.
 At frame 62.0, person 7.0 is located at coordinates [594.48, 635.34] with a bounding box of width 34.36 and height 77.67.
 At frame 62.0, person 8.0 is located at coordinates [1144.45, 619.63] with a bounding box of width 17.93 and height 43.84.
 At frame 62.0, person 9.0 is located at coordinates [619.44, 640.82] with a bounding box of width 25.47 and height 64.38.
 At frame 62.0, person 11.0 is located at coordinates [279.59, 633.29] with a bounding box of width 29.84 and height 75.31.
 At frame 62.0, person 12.0 is located at coordinates [331.57, 640.96] with a bounding box of width 35.65 and height 82.56.
 At frame 62.0, person 13.0 is located at coordinates [1229.49, 618.95] with a bounding box of width 24.46 and height 57.54.
 At frame 62.0, person 14.0 is located at coordinates [1085.06, 625.41] with a bounding box of width 14.50 and height 32.28.
 At frame 62.0, person 15.0 is located at coordinates [1251.40, 615.83] with a bounding box of width 25.03 and height 62.21.
 At frame 62.0, person 16.0 is located at coordinates [1446.67, 612.95] with a bounding box of width 30.11 and height 79.83.
 At frame 62.0, person 17.0 is located at coordinates [1463.97, 617.12] with a bounding box of width 27.06 and height 74.86.
 At frame 62.0, person 10.0 is located at coordinates [1283.71, 613.82] with a bounding box of width 20.56 and height 50.95.
 At frame 62.0, person 18.0 is located at coordinates [1501.68, 621.72] with a bounding box of width 35.91 and height 100.80.
 At frame 62.0, person 19.0 is located at coordinates [1581.31, 602.44] with a bounding box of width 57.49 and height 136.42.
 At frame 63.0, person 1.0 is located at coordinates [441.87, 639.71] with a bounding box of width 84.10 and height 168.46.
 At frame 63.0, person 5.0 is located at coordinates [1306.66, 612.55] with a bounding box of width 87.19 and height 225.59.
 At frame 63.0, person 6.0 is located at coordinates [1125.32, 620.95] with a bounding box of width 25.27 and height 61.61.
 At frame 63.0, person 7.0 is located at coordinates [596.60, 635.19] with a bounding box of width 33.78 and height 78.06.
 At frame 63.0, person 8.0 is located at coordinates [1144.93, 619.50] with a bounding box of width 17.84 and height 43.61.
 At frame 63.0, person 9.0 is located at coordinates [618.92, 639.42] with a bounding box of width 26.14 and height 66.51.
 At frame 63.0, person 11.0 is located at coordinates [278.32, 633.92] with a bounding box of width 29.82 and height 74.99.
 At frame 63.0, person 12.0 is located at coordinates [329.81, 641.41] with a bounding box of width 35.23 and height 81.65.
 At frame 63.0, person 13.0 is located at coordinates [1230.75, 619.29] with a bounding box of width 24.19 and height 57.14.
 At frame 63.0, person 14.0 is located at coordinates [1085.86, 624.73] with a bounding box of width 14.60 and height 32.60.
 At frame 63.0, person 15.0 is located at coordinates [1252.28, 615.82] with a bounding box of width 24.57 and height 61.33.
 At frame 63.0, person 16.0 is located at coordinates [1448.03, 612.44] with a bounding box of width 30.17 and height 79.97.
 At frame 63.0, person 17.0 is located at coordinates [1465.20, 616.68] with a bounding box of width 27.24 and height 75.14.
 At frame 63.0, person 10.0 is located at coordinates [1284.90, 613.76] with a bounding box of width 20.33 and height 50.06.
 At frame 63.0, person 18.0 is located at coordinates [1506.54, 621.58] with a bounding box of width 36.63 and height 102.47.
 At frame 63.0, person 19.0 is located at coordinates [1585.42, 602.23] with a bounding box of width 59.09 and height 140.11.
 At frame 64.0, person 1.0 is located at coordinates [442.21, 637.53] with a bounding box of width 86.87 and height 172.89.
 At frame 64.0, person 5.0 is located at coordinates [1306.15, 612.36] with a bounding box of width 90.48 and height 228.28.
 At frame 64.0, person 6.0 is located at coordinates [1126.10, 620.80] with a bounding box of width 25.06 and height 61.07.
 At frame 64.0, person 7.0 is located at coordinates [597.51, 634.54] with a bounding box of width 33.90 and height 79.96.
 At frame 64.0, person 8.0 is located at coordinates [1145.18, 619.75] with a bounding box of width 17.59 and height 42.94.
 At frame 64.0, person 9.0 is located at coordinates [619.34, 639.46] with a bounding box of width 25.74 and height 66.16.
 At frame 64.0, person 11.0 is located at coordinates [276.22, 633.86] with a bounding box of width 30.01 and height 75.43.
 At frame 64.0, person 12.0 is located at coordinates [328.35, 640.42] with a bounding box of width 35.05 and height 81.27.
 At frame 64.0, person 13.0 is located at coordinates [1232.06, 618.54] with a bounding box of width 24.62 and height 58.16.
 At frame 64.0, person 14.0 is located at coordinates [1086.86, 624.48] with a bounding box of width 14.38 and height 32.14.
 At frame 64.0, person 15.0 is located at coordinates [1253.13, 615.83] with a bounding box of width 24.52 and height 61.52.
 At frame 64.0, person 16.0 is located at coordinates [1449.64, 612.85] with a bounding box of width 30.19 and height 80.01.
 At frame 64.0, person 17.0 is located at coordinates [1466.07, 616.51] with a bounding box of width 27.55 and height 75.86.
 At frame 64.0, person 10.0 is located at coordinates [1285.85, 613.73] with a bounding box of width 20.31 and height 49.73.
 At frame 64.0, person 18.0 is located at coordinates [1510.95, 619.80] with a bounding box of width 37.59 and height 104.80.
 At frame 64.0, person 19.0 is located at coordinates [1590.39, 601.82] with a bounding box of width 59.29 and height 139.99.
 At frame 65.0, person 1.0 is located at coordinates [441.72, 635.54] with a bounding box of width 89.55 and height 176.85.
 At frame 65.0, person 5.0 is located at coordinates [1307.29, 612.59] with a bounding box of width 93.46 and height 230.37.
 At frame 65.0, person 6.0 is located at coordinates [1127.44, 620.75] with a bounding box of width 25.17 and height 61.41.
 At frame 65.0, person 7.0 is located at coordinates [598.16, 632.55] with a bounding box of width 34.45 and height 82.41.
 At frame 65.0, person 8.0 is located at coordinates [1145.03, 619.56] with a bounding box of width 17.94 and height 43.87.
 At frame 65.0, person 9.0 is located at coordinates [618.91, 638.31] with a bounding box of width 26.78 and height 69.50.
 At frame 65.0, person 11.0 is located at coordinates [274.06, 633.83] with a bounding box of width 30.05 and height 75.59.
 At frame 65.0, person 12.0 is located at coordinates [326.85, 641.51] with a bounding box of width 35.00 and height 81.10.
 At frame 65.0, person 13.0 is located at coordinates [1233.19, 618.55] with a bounding box of width 24.58 and height 57.95.
 At frame 65.0, person 14.0 is located at coordinates [1087.21, 624.39] with a bounding box of width 14.30 and height 31.97.
 At frame 65.0, person 15.0 is located at coordinates [1253.19, 615.84] with a bounding box of width 24.98 and height 62.74.
 At frame 65.0, person 16.0 is located at coordinates [1450.85, 613.32] with a bounding box of width 30.00 and height 79.44.
 At frame 65.0, person 17.0 is located at coordinates [1468.29, 617.34] with a bounding box of width 27.32 and height 74.95.
 At frame 65.0, person 10.0 is located at coordinates [1286.81, 614.32] with a bounding box of width 20.17 and height 49.03.
 At frame 65.0, person 18.0 is located at coordinates [1515.47, 619.83] with a bounding box of width 37.85 and height 104.83.
 At frame 65.0, person 19.0 is located at coordinates [1592.91, 600.70] with a bounding box of width 61.20 and height 143.81.
 At frame 66.0, person 1.0 is located at coordinates [441.94, 634.75] with a bounding box of width 93.18 and height 181.81.
 At frame 66.0, person 5.0 is located at coordinates [1308.51, 612.97] with a bounding box of width 96.26 and height 232.23.
 At frame 66.0, person 6.0 is located at coordinates [1127.94, 621.02] with a bounding box of width 25.19 and height 61.52.
 At frame 66.0, person 7.0 is located at coordinates [599.43, 632.94] with a bounding box of width 34.32 and height 82.18.
 At frame 66.0, person 8.0 is located at coordinates [1145.76, 619.78] with a bounding box of width 17.63 and height 43.05.
 At frame 66.0, person 9.0 is located at coordinates [618.63, 638.45] with a bounding box of width 26.83 and height 70.17.
 At frame 66.0, person 11.0 is located at coordinates [271.81, 633.81] with a bounding box of width 30.15 and height 76.22.
 At frame 66.0, person 12.0 is located at coordinates [324.94, 641.92] with a bounding box of width 35.76 and height 82.78.
 At frame 66.0, person 13.0 is located at coordinates [1234.03, 617.97] with a bounding box of width 24.79 and height 58.45.
 At frame 66.0, person 14.0 is located at coordinates [1087.43, 624.06] with a bounding box of width 14.04 and height 31.32.
 At frame 66.0, person 15.0 is located at coordinates [1253.22, 615.27] with a bounding box of width 25.13 and height 63.18.
 At frame 66.0, person 16.0 is located at coordinates [1452.90, 613.51] with a bounding box of width 30.14 and height 79.80.
 At frame 66.0, person 17.0 is located at coordinates [1469.43, 616.75] with a bounding box of width 27.68 and height 75.82.
 At frame 66.0, person 10.0 is located at coordinates [1287.47, 613.64] with a bounding box of width 20.60 and height 49.97.
 At frame 66.0, person 18.0 is located at coordinates [1519.89, 618.92] with a bounding box of width 38.09 and height 105.34.
 At frame 66.0, person 19.0 is located at coordinates [1595.58, 600.66] with a bounding box of width 60.40 and height 141.23.
 At frame 66.0, person 21.0 is located at coordinates [1127.90, 619.85] with a bounding box of width 19.67 and height 50.80.
 At frame 67.0, person 1.0 is located at coordinates [443.22, 634.15] with a bounding box of width 96.46 and height 185.98.
 At frame 67.0, person 5.0 is located at coordinates [1312.29, 614.00] with a bounding box of width 98.57 and height 233.43.
 At frame 67.0, person 6.0 is located at coordinates [1128.09, 621.14] with a bounding box of width 25.21 and height 62.12.
 At frame 67.0, person 7.0 is located at coordinates [600.52, 633.69] with a bounding box of width 35.32 and height 83.23.
 At frame 67.0, person 8.0 is located at coordinates [1145.40, 619.87] with a bounding box of width 18.74 and height 45.70.
 At frame 67.0, person 9.0 is located at coordinates [618.73, 637.64] with a bounding box of width 26.44 and height 69.25.
 At frame 67.0, person 11.0 is located at coordinates [270.54, 638.17] with a bounding box of width 28.56 and height 72.37.
 At frame 67.0, person 12.0 is located at coordinates [323.35, 643.24] with a bounding box of width 35.29 and height 81.66.
 At frame 67.0, person 13.0 is located at coordinates [1234.66, 617.17] with a bounding box of width 25.29 and height 59.80.
 At frame 67.0, person 14.0 is located at coordinates [1087.36, 623.64] with a bounding box of width 14.19 and height 31.68.
 At frame 67.0, person 15.0 is located at coordinates [1254.76, 616.22] with a bounding box of width 24.41 and height 61.59.
 At frame 67.0, person 16.0 is located at coordinates [1453.70, 613.29] with a bounding box of width 30.00 and height 79.34.
 At frame 67.0, person 17.0 is located at coordinates [1470.38, 616.23] with a bounding box of width 27.85 and height 76.14.
 At frame 67.0, person 10.0 is located at coordinates [1288.35, 613.98] with a bounding box of width 20.59 and height 49.74.
 At frame 67.0, person 18.0 is located at coordinates [1524.70, 617.68] with a bounding box of width 38.71 and height 106.66.
 At frame 67.0, person 19.0 is located at coordinates [1600.62, 602.55] with a bounding box of width 56.53 and height 131.43.
 At frame 67.0, person 22.0 is located at coordinates [1648.89, 610.43] with a bounding box of width 47.74 and height 119.37.
 At frame 68.0, person 1.0 is located at coordinates [445.54, 635.64] with a bounding box of width 97.91 and height 187.54.
 At frame 68.0, person 5.0 is located at coordinates [1315.50, 614.39] with a bounding box of width 101.50 and height 235.54.
 At frame 68.0, person 6.0 is located at coordinates [1128.10, 620.89] with a bounding box of width 25.27 and height 62.34.
 At frame 68.0, person 7.0 is located at coordinates [601.78, 633.10] with a bounding box of width 36.29 and height 84.18.
 At frame 68.0, person 8.0 is located at coordinates [1145.53, 620.19] with a bounding box of width 19.76 and height 48.39.
 At frame 68.0, person 9.0 is located at coordinates [619.76, 635.00] with a bounding box of width 26.07 and height 68.28.
 At frame 68.0, person 11.0 is located at coordinates [267.99, 635.97] with a bounding box of width 29.95 and height 76.23.
 At frame 68.0, person 12.0 is located at coordinates [321.15, 643.45] with a bounding box of width 36.42 and height 84.73.
 At frame 68.0, person 13.0 is located at coordinates [1236.82, 616.88] with a bounding box of width 25.02 and height 59.14.
 At frame 68.0, person 14.0 is located at coordinates [1087.10, 623.49] with a bounding box of width 14.69 and height 33.00.
 At frame 68.0, person 15.0 is located at coordinates [1255.37, 616.59] with a bounding box of width 24.08 and height 60.94.
 At frame 68.0, person 16.0 is located at coordinates [1454.68, 612.92] with a bounding box of width 29.61 and height 78.58.
 At frame 68.0, person 17.0 is located at coordinates [1472.44, 615.45] with a bounding box of width 27.94 and height 76.27.
 At frame 68.0, person 10.0 is located at coordinates [1289.20, 614.11] with a bounding box of width 20.63 and height 49.66.
 At frame 68.0, person 18.0 is located at coordinates [1529.29, 619.05] with a bounding box of width 38.92 and height 106.48.
 At frame 68.0, person 19.0 is located at coordinates [1602.44, 600.40] with a bounding box of width 57.20 and height 132.33.
 At frame 68.0, person 22.0 is located at coordinates [1650.32, 609.53] with a bounding box of width 47.09 and height 117.70.
 At frame 69.0, person 1.0 is located at coordinates [450.10, 637.95] with a bounding box of width 98.60 and height 187.49.
 At frame 69.0, person 5.0 is located at coordinates [1316.11, 613.10] with a bounding box of width 104.76 and height 239.74.
 At frame 69.0, person 6.0 is located at coordinates [1128.29, 621.39] with a bounding box of width 24.86 and height 61.23.
 At frame 69.0, person 7.0 is located at coordinates [602.63, 631.43] with a bounding box of width 37.59 and height 86.27.
 At frame 69.0, person 8.0 is located at coordinates [1146.28, 620.60] with a bounding box of width 18.73 and height 45.43.
 At frame 69.0, person 9.0 is located at coordinates [619.35, 634.30] with a bounding box of width 26.94 and height 70.23.
 At frame 69.0, person 11.0 is located at coordinates [266.42, 635.18] with a bounding box of width 30.91 and height 78.76.
 At frame 69.0, person 12.0 is located at coordinates [320.19, 642.95] with a bounding box of width 37.18 and height 86.44.
 At frame 69.0, person 13.0 is located at coordinates [1237.78, 617.65] with a bounding box of width 24.53 and height 58.29.
 At frame 69.0, person 14.0 is located at coordinates [1087.01, 623.73] with a bounding box of width 14.84 and height 33.50.
 At frame 69.0, person 15.0 is located at coordinates [1256.29, 617.32] with a bounding box of width 23.70 and height 60.10.
 At frame 69.0, person 16.0 is located at coordinates [1455.60, 612.50] with a bounding box of width 29.40 and height 78.29.
 At frame 69.0, person 17.0 is located at coordinates [1473.55, 614.86] with a bounding box of width 28.37 and height 77.50.
 At frame 69.0, person 10.0 is located at coordinates [1290.53, 613.57] with a bounding box of width 20.89 and height 50.23.
 At frame 69.0, person 18.0 is located at coordinates [1534.38, 619.28] with a bounding box of width 39.02 and height 106.35.
 At frame 69.0, person 19.0 is located at coordinates [1603.51, 599.37] with a bounding box of width 61.25 and height 141.86.
 At frame 69.0, person 22.0 is located at coordinates [1650.52, 608.54] with a bounding box of width 48.80 and height 122.07.
 At frame 69.0, person 23.0 is located at coordinates [531.13, 622.24] with a bounding box of width 30.88 and height 76.74.
 At frame 70.0, person 1.0 is located at coordinates [456.45, 634.46] with a bounding box of width 101.20 and height 192.05.
 At frame 70.0, person 5.0 is located at coordinates [1317.33, 611.73] with a bounding box of width 107.26 and height 243.57.
 At frame 70.0, person 6.0 is located at coordinates [1128.55, 621.87] with a bounding box of width 23.12 and height 56.68.
 At frame 70.0, person 7.0 is located at coordinates [602.60, 631.66] with a bounding box of width 38.16 and height 86.47.
 At frame 70.0, person 8.0 is located at coordinates [1146.51, 620.47] with a bounding box of width 18.38 and height 44.20.
 At frame 70.0, person 9.0 is located at coordinates [621.19, 637.80] with a bounding box of width 25.00 and height 64.59.
 At frame 70.0, person 11.0 is located at coordinates [264.06, 636.30] with a bounding box of width 30.90 and height 79.15.
 At frame 70.0, person 12.0 is located at coordinates [318.58, 644.19] with a bounding box of width 37.23 and height 87.08.
 At frame 70.0, person 13.0 is located at coordinates [1238.52, 617.95] with a bounding box of width 24.66 and height 58.54.
 At frame 70.0, person 14.0 is located at coordinates [1086.62, 624.41] with a bounding box of width 14.41 and height 32.52.
 At frame 70.0, person 15.0 is located at coordinates [1256.84, 616.42] with a bounding box of width 24.30 and height 61.53.
 At frame 70.0, person 16.0 is located at coordinates [1455.64, 611.46] with a bounding box of width 29.82 and height 79.36.
 At frame 70.0, person 17.0 is located at coordinates [1474.01, 614.35] with a bounding box of width 28.34 and height 77.38.
 At frame 70.0, person 10.0 is located at coordinates [1291.46, 612.78] with a bounding box of width 21.22 and height 51.04.
 At frame 70.0, person 18.0 is located at coordinates [1539.72, 619.97] with a bounding box of width 38.95 and height 105.65.
 At frame 70.0, person 19.0 is located at coordinates [1604.25, 599.31] with a bounding box of width 64.23 and height 149.96.
 At frame 70.0, person 22.0 is located at coordinates [1651.67, 606.94] with a bounding box of width 52.36 and height 131.32.
 At frame 70.0, person 23.0 is located at coordinates [534.72, 623.92] with a bounding box of width 30.82 and height 76.46.
 At frame 71.0, person 1.0 is located at coordinates [465.65, 635.44] with a bounding box of width 99.45 and height 192.01.
 At frame 71.0, person 5.0 is located at coordinates [1317.92, 610.63] with a bounding box of width 108.89 and height 246.11.
 At frame 71.0, person 7.0 is located at coordinates [603.56, 634.08] with a bounding box of width 38.10 and height 84.19.
 At frame 71.0, person 8.0 is located at coordinates [1147.33, 619.53] with a bounding box of width 17.95 and height 43.15.
 At frame 71.0, person 9.0 is located at coordinates [619.31, 638.93] with a bounding box of width 26.45 and height 67.74.
 At frame 71.0, person 11.0 is located at coordinates [261.87, 636.73] with a bounding box of width 30.72 and height 79.28.
 At frame 71.0, person 12.0 is located at coordinates [317.01, 644.96] with a bounding box of width 37.25 and height 87.30.
 At frame 71.0, person 13.0 is located at coordinates [1239.33, 617.48] with a bounding box of width 24.71 and height 58.64.
 At frame 71.0, person 14.0 is located at coordinates [1085.86, 624.38] with a bounding box of width 14.25 and height 32.14.
 At frame 71.0, person 15.0 is located at coordinates [1256.44, 614.63] with a bounding box of width 24.54 and height 62.06.
 At frame 71.0, person 16.0 is located at coordinates [1456.09, 610.50] with a bounding box of width 30.18 and height 80.35.
 At frame 71.0, person 17.0 is located at coordinates [1474.81, 614.16] with a bounding box of width 28.14 and height 76.74.
 At frame 71.0, person 10.0 is located at coordinates [1292.36, 612.19] with a bounding box of width 21.34 and height 51.34.
 At frame 71.0, person 18.0 is located at coordinates [1543.14, 616.67] with a bounding box of width 40.44 and height 108.91.
 At frame 71.0, person 19.0 is located at coordinates [1606.94, 599.88] with a bounding box of width 63.82 and height 149.56.
 At frame 71.0, person 22.0 is located at coordinates [1653.50, 607.97] with a bounding box of width 51.87 and height 130.70.
 At frame 71.0, person 21.0 is located at coordinates [1129.07, 622.11] with a bounding box of width 19.06 and height 48.89.
 At frame 72.0, person 1.0 is located at coordinates [475.34, 632.62] with a bounding box of width 100.86 and height 197.72.
 At frame 72.0, person 5.0 is located at coordinates [1318.40, 607.90] with a bounding box of width 109.94 and height 249.31.
 At frame 72.0, person 7.0 is located at coordinates [604.04, 635.91] with a bounding box of width 38.93 and height 83.87.
 At frame 72.0, person 8.0 is located at coordinates [1147.51, 618.29] with a bounding box of width 18.00 and height 43.36.
 At frame 72.0, person 11.0 is located at coordinates [259.84, 638.05] with a bounding box of width 30.28 and height 78.72.
 At frame 72.0, person 12.0 is located at coordinates [314.33, 645.24] with a bounding box of width 37.46 and height 87.36.
